Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
"Hogan, Moses",Traditional,"Walk Together, Children",1786,80,SATB,Hal-Leonard,,,,A cappella divisi,,,,,,,,,,,,,,,,,
"Shaw, Kirby","Travis, Merle",Sixteen Tons,2323,25,TBB,Alfred,,,,A cappella,,,,,,,,,,,,,,,,,
"Krone, Max T.","Travis, Ralph",Ghosts of White Birches,2231,20,SSAA,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,Trebarne,Father Abraham,780 /2 envelopes,50,SSAATTBB,Wills Music ,,,Folk-Spiritual,A cappella,,,,,,,,,,,,,,,,,
Shaw,"Troup, Bobby",Their Hearts Were Full Of Spring,1173,5,SATB,Hal Leonard,,,Jazz,A cappella,,,,,,,,,,,,,,,,,
Averre,"Troup, Bobby",Route 66,1273,10,SATB,Hal Leonard,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
Philip Kern,"Troup, Bobby",Snootie Little Cutie,1556,7,SATB,Shawnee Press,,,Jazz,Piano,,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",Cherubim Song #3,781,45,SATB,G. Schirmer,,,Sacred Russian,"Piano or organ, divisi",,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",A Legend,782,21,SATB,G. Schirmer,,,Folk-Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",Light Celestial,783,11,SATB,G. Schirmer,,,Vesper song,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",The Nightingale,784,30,SATB,Oliver Ditson,,,Russian folk,A cappella,,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",None But The Lonely Heart,785,20,SATB,The Kama ,,,"Russian ""nur wehr die sehnsucht kennt""",A cappella,,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",O Blest Are They,786,46,SATB,Gamble Hinged Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",Pilgrim's Song,787,24,SATB,Pro Art Publications,,,Folk-Patriotic,Piano,,,,,,,,,,,,,,,,,
,"Tschaikovsky, P. I.",Song of the Reapers,788,24,SATB,M. Witmark & Sons,,,,A cappella,,,,,,,,,,,,,,,,,
,"Tschaikovsky, P.I. ",When Jesus Was a Little Boy,789,50,SATB,Oliver Ditson,,,Part song,Piano,,,,,,,,,,,,,,,,,
"Simeone, Harry","Tschaikovsky, Peter", The Nutcracker Suite - Overture,2185,35,SSAA,Shawnee Press,,,,2 hand piano,,,,,,,,,,,,,,,,,
"Simeone, Harry","Tschaikovsky, Peter",Dance of the Sugar Plums,2186,35,SSAA,Shawnee Press,,,,2 hand piano,,,,,,,,,,,,,,,,,
"Simeone, Harry","Tschaikovsky, Peter",Trepak,2187,35,SSAA,Shawnee Press,,,,2 hand piano,,,,,,,,,,,,,,,,,
"Simeone, Harry","Tschaikovsky, Peter",Dance of the Toy Flutes,2188,35,SSAA,Shawnee Press,,,,2 hand piano,,,,,,,,,,,,,,,,,
"Simeone, Harry","Tschaikovsky, Peter",Waltz of the Flowers,2189,35,SSAA,Shawnee Press,,,,2 hand piano,,,,,,,,,,,,,,,,,
,"Tscherepnin, Nicolas",The Beatitudes,790,30,SATB,Boston Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,Tschesnokoff,Now We Sing Thy Praise,791,100,SATTBB,Belwin ,,,Part Song,A cappella,,,,,,,,,,,,,,,,,
,Tschesnokoff,O Lord God,792,60,SSATTBB,Boston Music,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Tschesnokoff, Paul",Salvation Is Created,1007 /2 envelopes,30,SATB,Fischer,,,Russian,A cappella,,,,,,,,,,,,,,,,,
,"Tumbleson, R.",By George!,793,52,4-part,Mimeographed Copies,,,,A cappella,,,,,,,,,,,,,,,,,
,"Tuthill, Burnet C.",Volga Boat Song,794,43,SATB,H. W. Gray ,,,Folk russian,A cappella,,,,,,,,,,,,,,,,,
,"Tyson, Ian",January Morning,1212,12,SATB,Warner Bros,,,Jazz,"Piano, guitar, bass",,,,,,,,,,,,,,,,,
"Chilcott, Bob",U2,MLK,2017,30,SATB,Hal Leonard,,,,A cappella,,,,,,,,,,,,,,,,,
Frank Metis,"Umiliani, Pietro","Mah-Na, Mah-Na",1564,3,SATB,Marks Music,,,Jazz,Piano,,,,,,,,,,,,,,,,,
,"Unterseher, Reginald",The Steady Light,2328,11,TTBB,Reginaldunterseher.com,,,,A cappella,,,,,,,,,,,,,,,,,
,"Van Dijk, Peter Louis",Horizons,1897 /2 Envelopes,25,SATTBB,Hal Leonard,,,,A cappella,,,,,,,,,,,,,,,,,
,"Van, Jeffrey",A Procession Winding Around Me,2648,57,SATB,Walton,,,Extended Work,Guitar part included,,,,,,,,,,,,,,,,,
,"Vance, Margaret",Something Told The Wild Geese,795,40,SATB,Belwin,,,,Piano,,,,,,,,,,,,,,,,,
,"Vari, Ferenc",Danny Rider,2431,2,SATB,Edward and Marks,,,,A cappella,,,,,,,,,,,,,,,,,
,Various,Come To The Fair,2284,8,SA,Boosey & Hawkes,,,Collection of Songs,Piano,,,,,,,,,,,,,,,,,
,Various,Sing Idaho Sing (Songs of the University of Idaho - 2 volumes),#17 Box of Idaho Songs,2,SATB,U of I,,,,Piano,,,,,,,,,,,,,,,,,
,"Vasques, Jaun",En La Fuente Del Rosel,796,7,SATB,Lawson Gould,,,,A cappella,,,,,,,,,,,,,,,,,
,"Vaughan Williams, R",Serenade to Music,1790,19,SATB,Oxford University,,,,"Piano, orchestra, full score included",,,,,,,,,,,,,,,,,
,"Vaughan Williams, R",Magnificat,2222,28,SA,Oxford,,,,"Piano, contralto solo, orchestra",,,,,,,,,,,,,,,,,
,"Vaughan Williams, R.",Five Mystical Songs ,2635,45,SATB,serenissima,,,Extended Work,"Piano, additional 20 copies by Galaxy Music on shelf",,,,,,,,,,,,,,,,,
,"Vaughan Williams, R.",Fantastic on Christmas Carols,2006 /3 envelopes,48,SATB,ECS publishing,,,Christmas,"Full orchestra parts included, baritone solo",,,,,,,,,,,,,,,,,
"Wood, Dale","Vaughan Williams, Ralph",Let All the World In Every Corner Sing,1898 /4 Envelopes,75,SATB,Sacred Music Press,,,,Organ and handbell parts,,,,,,,,,,,,,,,,,
,"Vaughan, Williams",The Turtle Dove,2356,26,SSATB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Vautor, T.","Mother, I Will Have A Husband",797,22,SSATB,Oxford University Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Vecchi, Orazio",Sing Me A Song,799,20,SATB,Lawson Gould,,,Canzonetta,A cappella,,,,,,,,,,,,,,,,,
Campbell,"Vecchi, Orazio",Let All Our Lives Be Joyous,1189,20,SATB,MCA Music,,,,A cappella,,,,,,,,,,,,,,,,,
Don Malin,"Vecchi, Orazio",I Am The Phoenix,1571,6,SATB,Edward B. Marks,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Vecchi, Orazio","L'Amfiparnasso Act II, Scene III",798 /2 envelopes,60,SSATB,Boosey & Hawkes ,,,Extended madrigal opera,A cappella,,,,,,,,,,,,,,,,,
Azelton,"Velazquez, Consuelo",Besame Mucho,1155,12,SATB,Hal Leonard,,,Jazz,"Rhythm section, flute, oboe",,,,,,,,,,,,,,,,,
,"Venosa, Carlo Gesualdo da","Moro, lasso, al mio duolo",1330,8,SSATB,CPD,,,,A cappella,,,,,,,,,,,,,,,,,
,Verdi,Il Trovatore,2143 /2 envelopes,20,SATB,No info,,,,A cappella,,,,,,,,,,,,,,,,,
,Verdi,Requiem (Parts),802 /2 envelopes,140,SATB,Edition Peters,,,Extended,Vocal Parts,,,,,,,,,,,,,,,,,
,"Verdi, G",Laudi Alla Vergine Maria,2206,30,SSAA,C.F. Peters,,,,A cappella,,,,,,,,,,,,,,,,,
,"Verdi, G.",Requiem,2644,93,SATB,Edition Peters,,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
,"Verdi, Giuseppi",Brindisi,800,31,SATB,Belwin,,,,A cappella,,,,,,,,,,,,,,,,,
G.R.L.,"Verdi, Giuseppi",Prison Scene (Il Travatore),801,61,SATB,Mimeograph Copy,,,Extended,A cappella,,,,,,,,,,,,,,,,,
,"Vick, Beryl Jr.","Jesus, Thy Boundless Love to Me",2430,2,SATB,Sacred Music Press,,,,A cappella,,,,,,,,,,,,,,,,,
Alwes & Shaw,"Victoria, Tomas Luis de",O Vos Omnes,1899,40,SSAATTBB,Mark Foster,,,,A cappella,,,,,,,,,,,,,,,,,
"Culloton, Matthew",Vida,Famine Song,2334,19,SATB,Santa Barbara,,,,A cappella,,,,,,,,,,,,,,,,,
,"Vittoria, Tomas Luis de",Polifonia Espanola (Four Motets),235,13,SATB,Associated Music,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Vittoria, Tomas Luis de",O Magnum Mysterium,805,43,SATB,G. Schirmer,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Vittoria, Tomas Luis de",O Vos Omnes,1395,25,SATB,Mark Foster,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Vittoria, Tomas Luis de",Jesu Dulcis Memoria,1643,34,SATB,Schirmer,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Vittoria, Tomas Luis de",Salve Regina,803 /2 envelopes,20,SATB,J. & W. Chester,,,Extended,"Double Choir, continuo",,,,,,,,,,,,,,,,,
,"Vittoria, Tomas Luis de",Ave Maria,804 /2 envelopes,40,SATB,G. Schirmer and Broude,,,,A cappella,,,,,,,,,,,,,,,,,
,"Vivaldi, Antonio",Gloria,2647,99,SATB,"24-Franco Columbia, 72-Walton, 3 other",,,Extended Work,Orchestra parts included,,,,,,,,,,,,,,,,,
,"Vivaldi, Antonio",Beatus Vir,2659,3,SATB,Ricordi,,,Extended Work,Organ part included,,,,,,,,,,,,,,,,,
,"Vivaldi, Antonio",Magnificat,1123 /2 envelopes,32,SATB,Ricordi,,,Extended,Orchestra,,,,,,,,,,,,,,,,,
,"Vulpius, Melchoir",Jesus Said to the Blind Man,806,25,SATB,Concordia  House,,,,A cappella,,,,,,,,,,,,,,,,,
"Schiavone, John","Wade, John F.","O Come, All Ye Faithful",1860,16,SATB,OCP Publications,,,Christmas,Organ,,,,,,,,,,,,,,,,,
,Wagner,"Little David, Play On Yo' Harp",870,25,SATB,Lawson-Gould,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Wagner, Richard",Pilgrim's Chorus (Tannhauser),808,60,SATB,Oliver Ditson ,,,Extended,Piano,,,,,,,,,,,,,,,,,
,"Wagner, Richard","Whirl and Twirl (Spinning Chorus) from ""The Flying Dutchman""",2191,22,SSAA,Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Wagner, Richard",Song of the Rhine-Nymphs,2195,10,SSA,Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Wagner, Richard",Hail Bright Abode,949 /3 envelopes,139,SSAATTBB,Fischer & Schirmer,,,"From ""Tannhauser""",Piano,,,,,,,,,,,,,,,,,
,"Wagner, Roger",The Christmas Story According to St. Luke,871,2,SATB,Lawson-Gould,,,"Extended, Christmas","Orchestra, narrator",,,,,,,,,,,,,,,,,
,"Walker, Gwyneth",Let the Life I've Lived,518,10,SATB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Walker, Gwyneth",I Thank You God,1066,3,SSA,ECS,,,,Piano,,,,,,,,,,,,,,,,,
,"Walker, Gwyneth",Crossing the Bar,1900,50,SATB,ECS Publishing,,,,Chamber Orchestra,,,,,,,,,,,,,,,,,
,"Walker, Gwyneth",Every Night (When the Sun Goes Down),1901,30,SATB,ECS Publishing,,,,A cappella,,,,,,,,,,,,,,,,,
,"Walker, Gwyneth",Love Is a Rain of Diamonds,1903,35,SSA,ECS Publishing,,,,Piano,,,,,,,,,,,,,,,,,
,"Walker, Gwyneth",White Horses,1904,50,SATB,ECS Publishing,,,,Piano,,,,,,,,,,,,,,,,,
,"Walker, Gwyneth",How Can I Keep From Singing?,1902 /2 Envelopes,30,SA(T)B,ECS Publishing,,,,Piano,,,,,,,,,,,,,,,,,
,"Walth, Gary Kent",Two Japanese Proverbs,1905,80,SATB,Roger Dean Publishing,,,,Divisi A cappella,,,,,,,,,,,,,,,,,
,"Walton, Kenneth",Thou Art My Life,809,7,SATB,Bourne ,,,,Piano,,,,,,,,,,,,,,,,,
,"Ward, Samuel",From Sea to Shining Sea,1338,30,SATB,Warner Bros,,,Patriotic,"Piano, opt band or orchestra",,,,,,,,,,,,,,,,,
Rob Landes,"Ward, Samuel",America The Beautiful,1492,5,SATB,Hinshaw Music ,,,Patriotic,Piano,,,,,,,,,,,,,,,,,
Robert Page,"Ward, Samuel",Ameroca The Beautiful,1493,5,SATB,Hinshaw Music ,,,Patriotic,A cappella,,,,,,,,,,,,,,,,,
,"Warford, Claude",Earth Is Enough,2104,20,TTBB,Carl Fischer ,,,,Piano,,,,,,,,,,,,,,,,,
,"Warland, Dale",Always Singing,1798,20,SATB,Graphite,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Warlock, Peter",Balulalow and Midwinter,813,30,SATB,Mimeograph Copy,,,Folk-Christmas,,,,,,,,,,,,,,,,,,
,"Warlock, Peter",Three Carols,815,60,SATB,Oxford University Press,,,Christmas,Piano,,,,,,,,,,,,,,,,,
,"Warlock, Peter",Bethlehem Down,814 /2 envelopes,99,SATB,Boosey & Hawkes ,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,Warner Richard,Carols Old But New,1385,25,SATB,H. W. Gray,,,Christmas choral suite,Piano or organ,,,,,,,,,,,,,,,,,
Rizzo,"Warren, Harry",Lulu's Back In Town,233,,,,,,,,,,,,,,,,,,,,,,,,
,"Warren, Harry",Lulu's Back In Town,1233,15,SATB,Warner Bros,,,Jazz,"Piano, opt rhythm section",,,,,,,,,,,,,,,,,
,"Washburn, Robert",Spring Cantata,1499,12,SATB,Boosey & Hawkes,,,Cantata movements,A cappella,,,,,,,,,,,,,,,,,
Steve Kupferschmid,"Weatherly, Fred",Danny Boy,1544,6,SATB,Shawnee Press,,,Folk Tune,A cappella,,,,,,,,,,,,,,,,,
,"Weaver, Powell",Windy Weather,817,25,SATB,Oliver Ditson ,,,,Piano,,,,,,,,,,,,,,,,,
Azelton,"Webb, Jim","Up, Up And Away",1205,12,SATB,Hal Leonard,,,Jazz,Rhythm parts,,,,,,,,,,,,,,,,,
Slater,"Weber, Andrew L.",Everything's Alright,874,40,SATB,Leeds Music ,,,"From ""Jesus Christ Superstar""",Piano or organ,,,,,,,,,,,,,,,,,
,"Webern, Anton",Entfliet auf Leichten Kahnen,1000,30,SATB,Universal,,,,A cappella,,,,,,,,,,,,,,,,,
,"Weelkes, Thomas",O Jonathon,818,20,SSAATB,Associated Music ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Weelkes, Thomas",Welcome Sweet Pleasure,819,9,SSATB,G. Schirmer,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Weelkes, Thomas",When David Heard,820,20,SSAATB,Associated Music ,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Weelkes, Thomas",Alleluia. I Heard a Voice,1906,20,SATB or SSATB ,Oxford,,,,A cappella,,,,,,,,,,,,,,,,,
,Weill Kurt/Maxwell Anderson,Lost in the Stars,822,20,SATB,Chappell,,,From the musical Lost In the Stars,Piano,,,,,,,,,,,,,,,,,
,"Weill, Kurt",Down in the Valley,821,8,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Weir, Judith",My Guardian Angel,514,30,SATB and congregation,Chester Music,,,,A cappella,,,,,,,,,,,,,,,,,
Carol MacClintock,"Wert, Giaches de","Lady, So Fair Thou Seemest",1600,3,SSAATB,Mills Music ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Wesley, Samuel S.","Lead Me, Lord (Vestry Hymn)",823,30,SATB,Novello & ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Western, Joan",Turn Ye To Me,824,28,SSATB,Oxford University Press,,,Old Highland Melody,A cappella,,,,,,,,,,,,,,,,,
,"Wetzel, LeRoy",Knight of Bethlehem,825,30,SATB,G. Schirmer,,,Folk-Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Whitacre, Eric",Sleep,1701,40,SSAATTBB,Walton,,,,A cappella,,,,,,,,,,,,,,,,,
,"Whitacre, Eric",A Boy and a Girl,1907,20,SATB,Shadow Water,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Whitacre, Eric",Water Night,1910,25,SATB,Walton Music,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Whitacre, Eric",This Marriage,2020,55,SATB,Shadow Water,,,,A cappella,,,,,,,,,,,,,,,,,
,"Whitacre, Eric","The Panther, (1 of Animal Crackers, Vol 1)",2044,43,SATB,Shadow Water,,,,Piano,,,,,,,,,,,,,,,,,
,"Whitacre, Eric",With a Lily in Your Hand (from Three Flower Songs),2063,30,SATB,Santa Barbara,,,,A cappella,,,,,,,,,,,,,,,,,
,"Whitacre, Eric",She Weeps Over Rahoon,2289,29,SSA,Walton ,,,,Piano and English Horn,,,,,,,,,,,,,,,,,
,"Whitacre, Eric",Lux Aurumque,2330,24,SATB,Walton ,,,,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Whitacre, Eric",Five Hebrew Love Songs,1908 /2 Envelopes,3,SATB,Walton Music,,,,Violin part,,,,,,,,,,,,,,,,,
,"White, B. F.",The Morning Trumpet,827,82,SATB,Remick Music ,,,Spiritual,"Piano, trumpet or brass",,,,,,,,,,,,,,,,,
Luboff,"Whittaker, Roger",New World in the Morning,1245,15,SATB,Walton Music,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Wilbye, John",Alas! What Hope of Speeding,830,4,SATB,C.C. Birchard & ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Wilbye, John",Come Shepherd Swains,831,20,SSA or TTB,Associated Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Wilbye, John",Sweet Sucking Honey Bee,832,10,SSAATB,M. Witmark & Sons,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Wilbye, John",Weep O Mine Eyes,833,20,SST or TTB,Associated Music ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Wilbye, John",Seek Sweet Content,2281,2,SSA,Belwin Mills,,,,A cappella,,,,,,,,,,,,,,,,,
,"Wilder, Alec",Lullabies and Nightsongs,1053,40,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
"Ramsey, Andrea","Wildhorn, Frank",Tell My Father (from The Civil War: An American Musical),2326,30,TTB,Cherry Lane,,,,"Piano, violin",,,,,,,,,,,,,,,,,
,"Wilkinson, Ralph",We Are The Chorus,887,50,SATB,"Plymouth Music , ",,,,Piano,,,,,,,,,,,,,,,,,
,"Willan, Healey",Fair In Face,835,63,SATB,Oxford University Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Willan, Healey",Hodie Christus Natus Est,836,60,SATB,Carl Fischer,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Willan, Healey",I Behold Her Beautiful as a Dove,837,30,SATB,Oxford University Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Willan, Healey","Rise Up, My Love, My Fair One",1912,25,SATB,Oxford ,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Williams, C. Lee",Song of the Pedlar,2237,4,SSA,H.W. Gray,,,"From Shakespeare's ""Winter Tale""",Piano,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",O Clap Your Hands,841,30,SATB,Galaxy Music ,,,,Organ,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",Sine Nomine,842,23,SATB,Carl Fischer,,,,Piano or organ,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",Sweet Day,1185,22,SATB,Mixed,,,,A cappella,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",The Willow Song,1186,15,SATB,Galaxy,,,,A cappella,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",O Mistress Mine,1187,15,SATB,Galaxy,,,Partsong,A cappella,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",Whether Men Do Laugh Or Weep,1202,25,SATB,Oxford Press,,,,Piano,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",See The Chariot At Hand,1376,49,SATB,Oxford,,,Wedding chorus,Piano,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",O Praise the Lord of Heaven,1474,4,SSAATTBB,Galaxy Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",O Taste And See,1495,4,SATB,Oxford University Press,,,,organ,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",Three Shakespeare Songs,1414 /2 envelopes,60,SATB,Oxford University Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Williams, Ralph Vaughan",Just as the Tide Was Flowing,840 /2 envelopes,97,SATB,Galaxy Music ,,,Folk,A cappella,,,,,,,,,,,,,,,,,
,"Willson, Meredith",It's Beginning To Look Like Christmas,1370,25,SATB,Hal Leonard,,,Holiday,Rhythm section,,,,,,,,,,,,,,,,,
,"Wilson, Harry Robert",Salute to Music,846,12,SAB,Boosey & Hawkes,,,Extended,Piano,,,,,,,,,,,,,,,,,
,"Wilson, Harry Robert",Five Master Choruses,845 /2 envelopes,38,SATB,Hall & McCreary,,,,Piano,,,,,,,,,,,,,,,,,
"Wilson, Harry R.","Wolf, Hugo",To An Ancient Picture,850,40,SATB,Ricordi,,,,A cappella,,,,,,,,,,,,,,,,,
,"Wolf, Hugo",Im Stillen Friednof,1651,39,SATB,National Music ,,,In the peaceful grave,Piano,,,,,,,,,,,,,,,,,
Owen,"Wonder, Stevie",All In Love Is Fair,1158,20,3-part,Copies,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
Muller Kjelson,Wonder/Cosby/Moy,My Cherie Amour,1268,2,SATB,Belwin Mills,,,Jazz,Piano/organ,,,,,,,,,,,,,,,,,
,"Wood, Guy",Shoo Fly Pie and Apple Pan Dowdy,853,21,SATB,Shawnee Press,,,,Piano,,,,,,,,,,,,,,,,,
,"Wood, James",Voice Of My Beloved,851,7,SATB,Galaxy Music,,,,"Piano, soprano solo",,,,,,,,,,,,,,,,,
,"Work, John W.",Go Tell It On The Mountain,852,50,SATB,Galaxy Music,,,Folk-Spiritual Christmas,"A cappella, sop and ten solos",,,,,,,,,,,,,,,,,
,"Young, Gordon",It's the Birthday of Our Country,989,9,SATB,Heritage,,,Patriotic,"Piano, Piccolo, snare drum",,,,,,,,,,,,,,,,,
,"Young, Robert H",Three Pieces,1913,45,SATB,Gentry Publications,,,,A cappella,,,,,,,,,,,,,,,,,
,"Young, Robert H.",Echo,1644,35,SSATTB,Hal Leonard,,,,A cappella,,,,,,,,,,,,,,,,,
,"Young, Robert H.",To Him We Sing,1914,50,SATB,Gentry Publications,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Young, Robert H.",There Is No Rose of Such Virtue,2288,25,SATB,Gentry,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Young, Robert M.",Sweet Was The Song,1368,25,SSAATTBB,Gentry,,,Christmas anthem,A cappella,,,,,,,,,,,,,,,,,
"Wilson, Harry R.","Yowman, Vincent",Vincent Youmans Selections,856,12,SATB,Miller Music,,,Medley,Piano or band,,,,,,,,,,,,,,,,,
Roy Ringwald,"Yowman, Vincent",Great Day,854 /2 envelopes,60,SATB,Shawnee Press and Mills,,,Spiritual,Piano,,,,,,,,,,,,,,,,,
,"Zaninedi, Luigi",Americana,990,40,SATB,Shawnee,,,American folk songs,Piano,,,,,,,,,,,,,,,,,
,"Zielenski, Mikolai",O Gloriosa Domina,1915,75,SSATB,Mark Foster Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Zielenski, Mikolai","Beata Es, Virgo Maria",1917,30,SSAATTBB,National Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Zielenski, Richard",Two Polish Wedding Songs,1916 /3 Envelopes,75,SATB,Roger Dean ,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Zingarelli, Nicola","Do Not Far From Me, O God",857,2,SATB,G. Schirmer,,,Motet,A cappella,,,,,,,,,,,,,,,,,
"Caldwell, Paul & Ivory, Sean",,Go Where I Send Thee!,6,23,SSA,Earthsongs,,,"Gospel Spiritual, Christmas",Piano,,,,,,,,,,,,,,,,,
"Helvey, Howard",,"Ride On, King Jesus",26,30,SATB,Beckenhorst Press,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
"Althouse, Jay",,Bright Morning Stars,38,30,SATB,Alfred,,,Kentucky Folk Hymn,A cappella,,,,,,,,,,,,,,,,,
"Thomas, Andre. J",,Keep Your Lamps,73,25,SATB,Hinshaw Music,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
"Juneau, Thomas",,Danny Boy,87,7,TTB,Hal Leonard,,,Irish folk song,Piano,,,,,,,,,,,,,,,,,
,,TBD,92,,,,,,,,,,,,,,,,,,,,,,,,
"Wilberg, Mack",,My Shepherd Will Supply My Need,200,30,SATB,Hinshaw,,,American Folk Hymn,"Harp, Flute, oboe",,,,,,,,,,,,,,,,,
,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,
,,TBD,236,,,,,,,,,,,,,,,,,,,,,,,,
"Gaul, Harvey",,Carol of the Doves,302,62,SATB,J. Fischer & Brother,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
"Gaul, Harvey",,"Christ of the Snow, The",304,94,SATB,M. Witmark & Sons,,,,Piano,,,,,,,,,,,,,,,,,
,,"Girl That I Marry, The",311,,,Mimeographed Copies,,,,,,,,,,,,,,,,,,,,,
,,Gloucester Wassail (parts),327,35,SATB,Mimeographed Copies,,,English folk song,A cappella,,,,,,,,,,,,,,,,,
"Klement, David",,Weepin' Mary,517,30,SATB,Copies,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
"Najers, Edmund",,He's gone Away,558,50,SATB,G. Schirmer,,,,"A cappella, two different publishers",,,,,,,,,,,,,,,,,
O.C.C.,,We've been a while a-wandering,579,60,SATB,Neil a Kjos Music ,,,Folk-Christmas,"A cappella, 2 different keys",,,,,,,,,,,,,,,,,
,,TBD,582,,,,,,,,,,,,,,,,,,,,,,,,
,,TBD,583,,,,,,,,,,,,,,,,,,,,,,,,
,,TBD,584,,,,,,,,,,,,,,,,,,,,,,,,
Shaw-Parker,,Street Corner Spirituals,598,45,SATB,Schirmer,,,Spiritual,Guitar and drums,,,,,,,,,,,,,,,,,
,,Patapan,600,40,SATB,Mimeograph copy,,,Folk-Christmas,A cappella,,,,,,,,,,,,,,,,,
"Puerling, Gene",,Deck the Halls ,627,40,SSAATTBB,Shawnee Press,,,Christmas,"A cappella, divisi",,,,,,,,,,,,,,,,,
"Puerling, Gene",,Silent Night,628,40,SSAATTBB,Shawnee Press,,,Christmas,"A cappella, divisi",,,,,,,,,,,,,,,,,
"Ringwald, Roy",,Deep River,643,30,SATB,Shawnee Press,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,,TBD,667,,,,,,,,,,,,,,,,,,,,,,,,
"Schaeffer, W.",,Pop Goes the Weasel,673,25,SATB,M. Witmark & Sons,,,Folk,A cappella,,,,,,,,,,,,,,,,,
"Schindler, Kurt",,The Silversmith,678,63,SATB,Oliver Ditson,,,,,,,,,,,,,,,,,,,,,
"Scott, Tom",,Gloucestershire Wassail,692,57,SATB,Shawnee Press,,,Folk-Christmas,Piano,,,,,,,,,,,,,,,,,
