Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Type,Publisher,PerformanceDate,PlayingTime,Score,Comments
Marching Band,Karmen,Moffit,Medley of Budweiser Songs,12,2-493,,,Elsmere,,,,
Marching Band,"karmen, S",Mutchler,Olympia Beer Theme,11,2-434,,,,,,,
Marching Band,Karmer,Moffit,Carry the Big Fresh Flavor,11,2-464,,Marching band,Leonard,,,,
Marching Band,"Kay, Ulysses",,Short Suite,18,3-243,,,Assoc. Music,,,Full,
Marching Band,"Kenny, C, & N",Carter,Love Letters in the sand,9,2.323,,,Bourne,,,,
Marching Band,"Kenny, Charles, & Nick",Carter,Cathedral in the pines,17,3-215,,Marching Band,Bourne,,,,
Marching Band,Kent-Drake,"loan, Van",Don't just stand there,5,2-36,,Modern,Broadcast,,,,
Marching Band,Kenton,Seiler-Bentz,Peanut vendor,12,470,,Marching Band,,,,,
Marching Band,Kern,Lindemann,Smoke Gets in your eyes,7,2-178,,Pop,Harms,,7:29,,
Marching Band,Key,Fillmore,Star Spangled Banner in Bb- trumpeting,8,2-195,,Patriotic,Fillmore,,,,
Marching Band,Key,Leaman,Star-Spangled Banner (in Ab),8,2-199,,,,,,,
Marching Band,Key,Moffit,Star-spangled Banner & fanfare Ab&Bb,10,2-384,,Patriotic,Leonard,,,Full,
Marching Band,Key,Sousa,The Star-spangled Banner,8,2-205,,,Fischer,,,,
Marching Band,Key/Smith,Leaman,The Star- Spangled banner (In Ab),9,2-294,,,,,,,
Marching Band,Khachaturian,Cheyette,"Sabre Dance from ""Gayne Ballet""",7,2-179,,Dance,Leeds,,,,
Marching Band,King,,Auld lang syne,7,2-165,,March,King,,,,
Marching Band,King,,Barnum & Bailey's favorite,5,2-11,,March,Barnhouse,,,,
Marching Band,King,,Goldman Band,5,2-54,,March,King,,,,
Marching Band,King,,Hosts of freedom,6,2-64,,March,King,,,,
Marching Band,King,,invictus,6,2-70,,March,King,,,,
Marching Band,King,,Iowa centennial,6,kin2-71,,March,King,,,,
Marching Band,King,,Michigan on Parade,6,2-90,,March,King,,,,
Marching Band,King,,Ohio Special,6,2-100,,March,King,,,,
Marching Band,King,,Omar Kayyam,2,1-70,,Overture Miniature,King,,,,
Marching Band,King,,Rifle Rangers,6,114,,March,Barnhouse,,,,
Marching Band,King,,Triumph March,7,2-146,,March,Barnhouse,,,,
Marching Band,King,,"Trombone king, the",7,2-147,,March,King,,,,
Marching Band,King,,University of Chicago,7,2-150,,March,King,,,,
Marching Band,King,,University of Idaho,7,2-151,,March,King,,,,
Marching Band,Kinyon,,Appalachian suite,Wksh 14,3-84,,Suite,Bourne,,,,
Marching Band,Kinyon,,Creole Suite,Wksh 14,3-78,,Suite,Bourne,,,Full,1. Bamboula 2. Berceuse 3. Marche petite
